setting,num_episodes,train_time,validity,proximity_cont,proximity_cat,sparsity,manifold,causality,time,air
01_0.99_256_0.0001_0.2,10000,0,79.767,0.216,0.959,1.0,2.188,99.024,37.26,0.11
01_0.99_256_0.0001_0.2,10000,0,72.763,0.112,0.955,1.0,1.603,98.93,40.5,0.09
01_0.99_256_0.0001_0.2,10000,0,73.541,0.42,0.956,1.0,3.131,100.0,30.53,0.09
01_0.99_256_0.0001_0.2,2000,0,45.525,0.0,0.077,1.0,1.028,100.0,29.11,0.62
01_0.99_256_0.0001_0.2,10000,0,73.541,0.516,0.956,2.0,3.587,56.085,42.44,0.15
01_0.99_256_0.0001_0.2,10000,0,73.541,0.526,0.956,2.0,3.642,56.085,44.34,0.11
01_0.99_256_0.0001_0.2,6000,0,54.475,0.251,0.078,1.0,1.449,100.0,35.53,0.22
01_0.99_256_0.0001_0.2,2000,0,47.082,0.0,0.077,1.0,1.263,100.0,33.42,0.25
01_0.99_256_0.0001_0.2,15000,0,92.218,0.341,0.068,1.0,1.041,100.0,15.32,0.1
01_0.99_256_0.0001_0.2,15000,0,92.218,0.341,0.068,1.0,1.041,100.0,15.56,0.1
01_0.99_256_0.0001_0.2,15000,0,89.883,0.334,0.067,1.0,1.007,100.0,16.8,0.09
01_0.99_256_0.0001_0.2,15000,0,92.218,0.318,0.056,1.0,0.874,100.0,6.36,0.43
01_0.99_256_0.0001_0.2,15000,0,92.218,0.318,0.056,1.0,0.874,100.0,6.24,0.41
01_0.99_256_0.0001_0.2,15000,0,89.883,0.334,0.067,1.0,1.007,100.0,15.62,0.17
01_0.99_256_0.0001_0.2,15000,0,89.883,0.334,0.067,1.0,1.007,100.0,15.65,0.08
01_0.99_256_0.0001_0.2,15000,0,89.883,0.334,0.067,1.0,1.007,100.0,15.42,0.07
01_0.99_256_0.0001_0.2,15000,0,94.163,0.592,0.922,1.0,2.29,60.744,22.03,0.09
01_0.99_256_0.0001_0.2,15000,0,94.163,0.592,0.922,1.0,2.29,60.744,21.94,0.14
