# {"t_start": 1702366737.8647463, "env_id": "german-nr-v01"} 
r,l,t
-51.973556,80,368.629225
25.52786,43,368.768487
-70.663009,72,369.141977
25.876185,42,369.285606
-96.446688,123,369.676584
40.628805,54,369.8627
12.217365,54,370.18582
4.261843,56,370.404908
-27.466699,62,370.596623
-3.320194,40,370.74033
3.745659,53,371.067405
33.154586,50,371.247192
36.132703,44,371.411276
-18.810488,64,371.644094
17.182976,43,371.786383
-92.208029,78,372.186862
-36.439741,84,372.443038
33.552646,51,372.633749
-34.992528,55,372.830441
22.408948,56,373.141567
-102.631406,80,373.39772
-57.795184,69,373.661016
3.355711,57,373.840978
-95.266421,60,374.165639
-179.026495,96,374.517919
24.428847,45,374.659284
-36.190931,56,374.835059
66.820159,32,374.95432
73.996665,42,375.276017
18.596514,64,375.482105
-87.376012,62,375.670638
-47.00308,58,375.876395
-87.393946,64,376.246537
15.579328,44,376.41214
-17.545456,60,376.657693
-159.734413,117,377.05384
-8.155882,61,377.414775
23.20276,53,377.597505
24.758848,47,377.76823
3.203764,50,377.948731
22.994206,54,378.264001
5.530371,72,378.486287
-130.311592,75,378.720375
0.800462,61,378.925634
-80.627933,73,379.33042
-5.177747,50,379.487088
-7.094149,57,379.718972
23.804051,46,379.877542
10.492741,58,380.064609
-38.950393,63,380.439721
-36.642505,58,380.633929
-9.298734,67,380.902653
-160.280604,81,381.158045
-18.006007,61,381.535146
24.363411,46,381.699534
-12.523023,74,382.029033
-62.165249,77,382.40493
62.756701,54,382.627803
3.764244,59,382.808761
52.32857,54,382.995092
20.849647,62,383.223131
47.465534,47,383.542223
-43.049791,80,383.83934
22.743757,50,384.000051
34.576902,47,384.19837
13.07337,50,384.449937
43.391912,50,384.783725
35.486655,42,384.917689
-16.929431,58,385.173995
4.617776,56,385.363928
-11.688138,68,385.762901
-38.175056,64,385.95857
-27.585051,58,386.188903
35.133517,45,386.344253
-10.713513,63,386.536333
-47.969778,65,386.92166
0.831013,63,387.177078
-18.808529,65,387.382447
9.619773,58,387.609604
3.866893,50,387.935717
13.543608,50,388.125752
-67.924698,86,388.398726
-10.189386,71,388.663133
-108.607672,69,389.096546
-162.602782,88,389.360704
-4.401457,44,389.501604
5.264903,49,389.669592
-17.868771,66,390.055946
1.316938,59,390.320824
-47.519752,58,390.534921
-127.925252,75,390.793655
-27.30933,72,391.215919
-28.48171,79,391.483607
-5.956988,76,391.734672
35.625988,42,391.887817
-55.487383,52,392.265193
-17.050762,55,392.48052
2.331036,55,392.664641
33.792541,51,392.862895
23.614742,50,393.040864
-34.777967,50,393.394361
-17.413062,59,393.639146
81.341647,51,393.835299
-88.767076,70,394.09159
-53.381126,75,394.535412
63.479612,44,394.696265
2.583784,53,394.863225
-6.451865,50,395.031625
15.945378,46,395.179055
-40.475248,80,395.605103
-25.371905,54,395.779201
-104.857921,86,396.098303
75.486885,40,396.228898
10.062076,59,396.578636
32.838895,52,396.773118
24.965201,43,396.911152
22.086955,57,397.118931
32.154788,53,397.3162
-8.129699,62,397.680439
-59.240688,74,397.982901
-49.314544,87,398.309916
33.685946,45,398.631817
-39.354341,70,398.875628
-38.029542,62,399.089017
35.694778,41,399.253252
65.018463,43,399.425592
33.936874,49,399.771743
55.965121,43,399.942013
-28.028093,66,400.217737
23.275601,49,400.415066
4.690407,48,400.599224
-27.500699,58,400.962718
-106.672822,63,401.159367
-108.742872,73,401.475504
27.047689,36,401.602764
-146.193585,93,402.101545
24.765823,47,402.27295
-39.017932,64,402.4934
95.178169,36,402.618695
-7.409802,53,402.810321
-38.054646,63,403.171926
44.121679,47,403.331156
35.563522,39,403.464154
-17.323917,57,403.645936
-137.508056,89,404.080378
45.857414,39,404.208085
-45.132789,80,404.457563
43.793386,47,404.609662
-117.313447,67,404.831973
16.134946,45,405.129856
-133.317323,81,405.383773
-6.87714,53,405.551492
43.170019,50,405.722747
75.210212,39,405.990476
-95.357833,59,406.195719
52.867412,53,406.365829
-27.517038,65,406.573624
-8.938391,62,406.776232
23.720608,51,407.089962
-70.079245,70,407.310122
14.81962,50,407.498367
2.540248,52,407.671983
-47.811706,62,408.003598
35.330377,43,408.164317
41.456094,60,408.362974
41.863007,53,408.55525
-10.176764,68,408.787061
4.659754,46,409.072767
-66.538989,80,409.322709
-14.746022,48,409.490181
-6.700779,54,409.664031
-6.297374,50,409.964096
6.793716,69,410.190433
18.739061,67,410.418701
75.339652,37,410.567052
45.92983,37,410.692596
-131.681253,83,411.085299
4.103308,49,411.246898
23.577989,49,411.412226
