# {"t_start": 1702256277.8914988, "env_id": "adult-v01"} 
r,l,t
100.382648,2,7441.211745
99.95929,1,7441.563494
99.95929,1,7441.917598
100.380468,2,7442.350271
92.240824,9,7443.239134
80.811884,5,7443.749971
89.95929,2,7444.112034
100.38921,2,7444.534834
42.915729,15,7445.494847
90.82601,4,7446.002872
100.380468,2,7446.431106
99.95929,1,7446.786512
100.393969,2,7447.207478
100.381276,2,7447.644372
100.405525,2,7448.073619
100.380557,2,7448.504897
99.953811,1,7448.857379
81.240014,6,7449.445006
71.639304,8,7450.449667
80.83494,5,7450.960343
90.802302,4,7451.467993
89.953811,2,7451.829699
99.953811,1,7452.187791
61.160593,8,7452.76687
99.953811,1,7453.12035
100.805376,3,7453.622797
99.953811,1,7453.969865
71.264932,7,7454.551577
15.554582,26,7456.12001
90.384078,3,7456.549952
99.953811,1,7456.905396
10.818315,12,7457.431879
99.953811,1,7457.791389
99.949314,1,7458.145116
63.312147,13,7459.122346
99.948331,1,7459.478414
70.384264,5,7459.918461
91.546765,6,7460.57289
70.396839,5,7461.004833
90.396474,3,7461.441648
79.948331,3,7461.803178
100.373257,2,7462.236112
100.821154,3,7462.739831
50.38274,7,7463.181388
92.356722,8,7463.99541
89.948331,2,7464.354278
69.948331,4,7464.715755
70.80053,6,7465.224825
60.762283,7,7465.751563
90.390031,3,7466.186722
99.948331,1,7466.54413
99.948331,1,7466.901708
89.948331,2,7467.25965
89.948331,2,7467.619569
99.948331,1,7467.976436
90.381381,3,7468.408343
100.834444,3,7468.911631
91.87555,7,7469.635514
89.948331,2,7469.997158
69.948331,4,7470.364391
99.948331,1,7470.721296
99.948331,1,7471.200125
80.814412,5,7471.713819
99.948331,1,7472.07157
99.954794,1,7472.427575
99.944794,1,7472.788193
90.377949,3,7473.227009
99.944794,1,7473.584555
99.944794,1,7473.942752
89.944794,2,7474.301703
99.944794,1,7474.657816
99.944794,1,7475.015769
49.944794,6,7475.387866
99.944794,1,7475.750048
101.205723,4,7476.331827
89.944794,2,7476.690024
99.944794,1,7477.047919
89.944794,2,7477.408993
89.944794,2,7477.769668
99.944794,1,7478.126791
99.944794,1,7478.488645
101.697748,5,7479.151711
89.951287,2,7479.508632
99.941287,1,7479.865927
99.941287,1,7480.228924
99.941287,1,7480.584692
99.941287,1,7480.940223
99.941287,1,7481.296713
99.941287,1,7481.654566
99.941287,1,7482.014319
99.941287,1,7482.37151
99.941287,1,7482.728218
99.941287,1,7483.091554
89.941287,2,7483.453652
99.941287,1,7483.809827
99.941287,1,7484.162987
99.94581,1,7484.520347
99.93581,1,7484.876879
79.93581,3,7485.239784
99.93581,1,7485.596941
99.93581,1,7485.959561
99.93581,1,7486.321996
99.940331,1,7486.683002
99.930331,1,7487.040738
89.930331,2,7487.401511
79.930331,3,7487.766175
99.940331,1,7488.128493
99.934621,1,7488.484441
99.930331,1,7488.84572
79.930331,3,7489.211687
89.940331,2,7489.575444
99.930331,1,7489.933371
99.930331,1,7490.294744
99.930331,1,7490.666635
99.934621,1,7491.022544
99.930331,1,7491.387679
99.934621,1,7491.749034
99.930331,1,7492.111388
99.930331,1,7492.468658
99.930331,1,7492.829959
99.930331,1,7493.190637
79.930331,3,7493.546063
99.930331,1,7493.907156
89.930331,2,7494.268931
99.934621,1,7494.631497
99.930331,1,7494.993076
99.930331,1,7495.354033
99.934621,1,7495.740688
99.930331,1,7496.102776
99.930331,1,7496.459486
99.930331,1,7496.820782
89.930331,2,7497.183206
79.930331,3,7497.545817
99.940331,1,7497.906456
99.930331,1,7498.278247
99.930331,1,7498.656021
99.930331,1,7499.107793
99.940331,1,7499.504136
99.930331,1,7499.865927
99.940331,1,7500.226267
70.738224,6,7500.744261
89.930331,2,7501.106672
99.930331,1,7501.466566
79.930331,3,7501.830994
89.930331,2,7502.193305
89.930331,2,7502.5561
69.930331,4,7502.922265
99.940331,1,7503.283952
99.930331,1,7503.645446
99.930331,1,7504.006672
99.934621,1,7504.367353
99.940331,1,7504.72797
99.930331,1,7505.08854
99.940331,1,7505.449219
89.934851,2,7505.811447
99.940101,1,7506.171832
99.930101,1,7506.532591
89.93558,2,7506.906278
99.936791,1,7507.267962
89.93558,2,7507.631261
99.93558,1,7507.994639
79.941059,3,7508.362435
99.935583,1,7508.714146
79.935583,3,7509.067398
79.935583,3,7509.422585
79.935583,3,7509.778812
89.935583,2,7510.132045
99.935583,1,7510.483743
99.930104,1,7510.835532
99.930104,1,7511.186295
99.930104,1,7511.538627
79.930104,3,7511.894997
99.930104,1,7512.24681
79.924624,3,7512.607185
89.924624,2,7512.957329
99.924624,1,7513.305576
79.924624,3,7513.656012
89.924624,2,7514.00465
99.919145,1,7514.350671
99.919145,1,7514.695312
89.919145,2,7515.05832
99.919145,1,7515.41921
99.919145,1,7515.884795
99.920356,1,7516.249363
89.919145,2,7516.61219
99.919145,1,7516.971399
79.919145,3,7517.330702
99.919145,1,7517.690277
99.919145,1,7518.050286
89.919145,2,7518.407016
79.920356,3,7518.769266
89.919145,2,7519.129738
79.919145,3,7519.493255
99.919145,1,7519.848869
79.919145,3,7520.212835
79.919145,3,7520.576628
