# {"t_start": 1702357745.1131442, "env_id": "german-v01"} 
r,l,t
-181.85051,116,531.934645
-102.829377,108,532.64108
-119.481329,127,533.366333
-332.775947,181,534.471322
-99.786036,124,535.145902
-111.032965,100,535.799666
-157.833452,122,536.473976
-116.876416,118,537.239285
-78.526283,93,537.735241
-178.088678,124,538.398559
-24.524436,104,539.147442
-186.015064,128,539.841575
-261.340614,137,540.744028
-177.144895,127,541.430721
-147.617298,124,542.274146
-83.671468,104,542.846932
-75.454796,113,543.661937
-73.270565,107,544.256433
-166.539307,121,545.031815
-87.802985,91,545.572064
-79.538081,101,546.155019
-221.361077,139,547.095269
-72.748679,107,547.707458
-52.018469,100,548.471715
-10.448756,85,548.989967
-156.012483,123,549.707315
-103.793123,116,550.483186
-102.927552,115,551.115116
-189.882912,114,551.895543
-200.843753,118,552.529701
-106.961354,116,553.320644
-399.098952,175,554.186223
-51.870908,95,554.85555
-100.77095,102,555.454619
-37.820402,87,556.166003
-19.480957,93,556.708956
-129.109724,99,557.251025
-93.47541,110,558.041673
-105.0289,114,558.707506
14.468338,77,559.178658
-113.431948,112,559.982971
-62.412514,100,560.534794
-125.212372,116,561.332102
-193.230804,117,561.922336
-29.947102,93,562.588262
-19.85475,90,563.119217
-145.340528,120,563.768154
-53.461052,101,564.521408
-67.654355,117,565.15309
-168.065918,119,565.924102
-128.399267,100,566.467775
-31.830962,96,566.994718
-28.5707,87,567.671597
-118.581321,115,568.311535
-51.584835,100,569.076867
-68.046675,94,569.632963
-60.320803,94,570.194312
-26.619603,89,570.888601
-68.372461,97,571.450714
-49.50467,89,571.98658
-121.254476,101,572.752174
-78.540488,91,573.270154
-216.767374,106,574.021851
-140.161319,106,574.571787
-36.439282,81,575.06218
-59.303824,96,575.777717
-126.633205,91,576.262875
-139.648501,102,576.779549
-57.398081,91,577.472072
-19.602883,93,578.052935
-32.391052,96,578.813775
-41.682854,96,579.360368
-90.488042,98,579.995034
-48.671027,91,580.730764
-8.776396,87,581.219272
-88.369203,91,581.697501
-12.103678,93,582.375357
-92.411439,109,582.969547
-6.627171,75,583.387915
-99.19501,98,584.051326
-31.001719,89,584.595773
-153.753935,105,585.504382
-177.251554,98,586.138744
-89.426447,98,586.657561
-23.148751,97,587.326426
-83.704213,105,587.873737
-96.745241,90,588.364358
-45.469161,105,589.14228
32.150027,78,589.636601
-81.041865,104,590.381774
-150.491326,100,590.924367
-143.339888,116,591.529371
-39.535603,90,592.14083
-49.17618,87,592.599985
-59.546187,94,593.230066
35.617371,68,593.60889
-17.155455,83,594.076496
-98.480233,96,594.583236
11.299383,83,595.219357
-24.760429,104,595.793397
-50.880155,96,596.434958
-55.854601,82,596.861384
-99.001124,100,597.408319
-41.687022,98,598.067116
-192.318182,117,598.653777
-60.976144,95,599.294977
12.058121,80,599.734766
-47.260193,82,600.162448
-85.111284,85,600.625444
-53.061365,113,601.370153
-39.959568,89,601.86582
6.646417,71,602.384544
13.911744,75,602.811389
-66.616381,86,603.259168
-57.043992,85,603.826777
-8.136494,90,604.338754
13.535969,81,604.778653
-111.067496,122,605.582024
-79.052722,91,606.063092
-75.855373,86,606.510015
-70.375612,94,607.131044
-6.918027,79,607.550779
-157.53169,98,608.042931
-51.50605,98,608.700027
-17.510998,82,609.131534
-42.15364,99,609.701081
-38.083421,86,610.280309
3.744474,77,610.706918
-5.58861,81,611.167789
-41.317711,96,611.823693
-5.052555,80,612.298073
-58.461695,89,612.772895
-7.512975,80,613.361426
-58.43991,87,613.882324
3.4494,73,614.274245
-86.541221,94,614.879494
-34.957962,80,615.312185
-65.653491,82,615.742841
-39.765414,87,616.360606
-0.251317,85,616.847389
-58.735704,90,617.342041
-17.543702,84,617.920995
-28.506431,87,618.413068
-39.339126,88,618.894476
-63.40785,100,619.563992
-114.929801,112,620.165424
-20.646554,92,620.798977
-65.314803,85,621.233303
-57.892482,88,621.695071
-17.592319,80,622.310296
-46.724211,90,622.791846
2.728399,75,623.195958
-67.596264,118,623.970303
0.808207,81,624.400811
-64.991267,77,624.794978
-90.317983,97,625.449048
10.983549,82,625.911103
32.73731,79,626.338791
-79.327815,92,626.949509
-31.563823,96,627.475198
-5.973324,77,627.917993
-6.487235,78,628.468804
-18.405375,82,628.910457
-36.033697,81,629.350189
21.024119,81,629.94872
11.704875,80,630.403921
-0.953486,90,630.909482
-45.43369,79,631.460524
-110.653854,98,631.958923
-46.372133,82,632.396924
-29.097602,87,633.029518
-37.732686,83,633.472775
-99.193185,93,633.948465
-110.906323,100,634.611684
-80.343033,98,635.13169
4.431266,73,635.535303
-38.854994,87,636.135946
-16.957242,83,636.586254
-33.897695,73,636.967687
-18.700801,83,637.607622
-4.52606,71,637.983721
-36.164267,80,638.394834
-56.092083,84,638.965049
23.61923,73,639.377347
-11.930648,64,639.752333
-39.437776,90,640.223364
40.516311,82,640.81176
-123.343834,101,641.329421
-3.045022,70,641.705089
-8.219823,83,642.328017
-94.318685,81,642.748747
-24.136665,74,643.138065
13.196836,77,643.685934
-59.06518,89,644.15587
-48.159156,85,644.610933
-66.893516,85,645.206528
-14.249096,73,645.593227
12.606892,77,646.031709
-87.320523,98,646.687553
-8.378516,83,647.146854
-16.002802,81,647.582817
2.227539,77,648.143856
21.053084,84,648.60566
-38.167366,83,649.05885
-19.746929,88,649.714655
15.241809,68,650.08388
-8.749755,83,650.531801
-12.841878,66,650.880223
-25.535167,76,651.458368
-21.753773,96,651.976651
-16.886345,79,652.398605
42.741475,71,652.937717
28.093155,90,653.43575
-63.360253,102,654.007822
-85.285327,115,654.760648
24.370463,71,655.150274
-41.189613,94,655.788064
-28.744232,81,656.222258
14.829423,70,656.649214
-54.595518,79,657.066003
-8.186314,87,657.670449
-44.335718,80,658.107148
-18.671719,85,658.562851
-35.407995,77,659.123618
33.791597,67,659.491163
-16.073518,75,659.892592
6.287371,70,660.40247
4.215207,76,660.818084
-43.249753,100,661.40485
14.585925,76,661.949148
-16.039107,76,662.353289
2.941325,73,662.737701
34.144649,72,663.134884
12.407322,78,663.696079
22.676248,76,664.115077
4.184234,75,664.522838
-94.576114,108,665.213583
-26.417243,79,665.643969
11.728029,79,666.061836
0.816996,81,666.663872
-47.728392,82,667.084021
-50.301237,93,667.573461
-57.234814,84,668.140545
-46.693045,81,668.56105
-56.360172,82,668.988818
24.946413,69,669.528074
-58.187346,85,669.983331
-27.684837,81,670.41077
2.118323,77,670.963635
10.42698,83,671.426136
2.176842,81,671.879682
-45.393908,76,672.31778
4.068047,77,672.883652
-46.363433,84,673.373212
-15.654698,78,673.783633
2.160892,78,674.343506
-8.156445,85,674.832513
14.683463,69,675.228255
12.969005,75,675.796133
-25.153684,75,676.195924
-14.582049,77,676.611102
-36.701361,82,677.1854
42.633695,75,677.637703
20.448532,85,678.10357
13.912081,78,678.541804
25.048436,71,679.055112
30.67033,77,679.486691
21.416455,82,679.930864
-89.306597,94,680.592135
34.46185,75,681.010809
14.555383,76,681.41814
33.253662,76,681.97921
5.210792,70,682.352829
2.683374,76,682.777424
11.150527,80,683.397508
-16.394242,78,683.830714
64.439513,67,684.219016
-47.686421,91,684.699543
