# {"t_start": 1702201858.3638394, "env_id": "german-v01"} 
r,l,t
97.916431,19,117.251841
98.072576,18,117.364978
77.428507,22,117.48591
87.644526,20,117.603956
97.938085,18,117.714151
97.71927,19,117.83255
98.373104,16,117.927823
98.117569,17,118.036759
97.9492,18,118.273492
87.938187,19,118.383854
98.364389,21,118.511122
98.413815,16,118.608894
98.377616,17,118.710437
97.920276,19,118.822866
98.106149,17,118.927618
88.194314,18,119.036358
97.466436,20,119.153968
97.878172,19,119.267462
97.965795,18,119.37544
98.401465,16,119.472679
98.413815,16,119.568423
88.18265,18,119.678218
86.77244,24,119.950163
88.121548,18,120.055829
98.223596,18,120.166021
97.889121,18,120.275193
98.128761,17,120.378658
98.738848,17,120.481653
97.945473,18,120.59107
98.183771,17,120.696881
98.153945,17,120.795154
88.222505,19,120.895315
98.23562,18,120.996535
98.827377,17,121.098396
98.185712,17,121.224668
98.125272,17,121.360485
98.401922,16,121.461645
98.116522,17,121.690194
98.413815,16,121.785591
98.401465,16,121.880876
98.167322,17,121.98481
97.998948,18,122.097607
97.957517,19,122.210216
88.13697,18,122.314949
98.383536,16,122.417491
98.139534,17,122.518304
98.153834,17,122.620081
98.383502,16,122.716049
98.144629,19,122.829684
97.747761,19,122.941577
98.227006,17,123.046005
98.158133,17,123.287174
98.413815,16,123.383472
97.668715,19,123.497475
98.415146,16,123.594372
97.560659,20,123.713971
98.139905,17,123.816773
98.238299,17,123.922248
98.402466,16,124.024693
98.207966,17,124.129878
98.112766,17,124.236957
98.401987,16,124.333659
87.889295,19,124.443242
98.317891,17,124.548234
87.950753,19,124.660087
98.358811,17,124.76678
97.6434,20,125.017907
98.413815,16,125.116307
97.7238,19,125.232246
98.413815,16,125.328793
98.401319,16,125.425973
88.147049,18,125.53273
98.42312,19,125.645792
98.041548,19,125.76647
98.267839,19,125.88075
98.2217,17,125.984572
98.168994,17,126.090874
97.972117,18,126.199198
97.970189,18,126.309617
98.058094,18,126.425284
97.886153,18,126.538753
98.232334,17,126.773544
88.44155,19,126.88624
98.401465,16,126.986255
88.105216,18,127.091819
98.401327,16,127.19666
98.21293,17,127.299703
97.885365,18,127.414734
98.134293,17,127.519924
98.399695,16,127.617663
87.965503,20,127.740163
98.221512,17,127.841077
98.112061,17,127.944359
98.261141,18,128.0573
98.406853,17,128.16684
98.394199,17,128.406084
98.249862,17,128.505087
98.357436,17,128.606541
98.398269,16,128.702375
98.176787,17,128.804813
88.402466,17,128.905213
98.632173,18,129.029337
98.400886,16,129.158211
98.223072,17,129.262231
97.963241,18,129.372137
88.349099,19,129.483902
98.413815,16,129.579743
98.214643,17,129.682588
98.196659,17,129.787643
98.413815,16,129.897726
98.171472,17,130.152335
98.413815,16,130.246613
88.270514,18,130.345612
98.150854,17,130.439421
98.413815,16,130.528375
98.413815,16,130.617375
98.175139,17,130.716321
97.900442,18,130.838034
88.391473,17,130.936563
88.383536,17,131.035084
88.350522,18,131.140899
98.401319,16,131.238541
98.794815,17,131.339329
98.383759,16,131.440191
98.366203,18,131.548528
98.817287,17,131.784763
97.984891,18,131.891233
98.168805,17,131.99336
97.910145,18,132.098901
98.35689,17,132.200835
98.373104,16,132.297579
98.401646,16,132.394874
98.383434,16,132.495129
88.007404,19,132.606963
98.175547,17,132.709847
98.413815,16,132.803045
98.151201,17,132.905418
88.36453,17,133.004383
98.220024,17,133.106869
98.413815,16,133.209366
98.151719,17,133.315127
98.816463,17,133.552109
98.22319,17,133.657468
98.032152,18,133.764155
98.287134,17,133.865175
98.400886,16,133.963033
88.815393,18,134.065329
98.376049,17,134.171589
98.815728,17,134.278013
98.383487,16,134.376635
98.413815,16,134.475166
78.796125,19,134.584245
98.156702,17,134.686103
98.226388,17,134.793338
97.893534,19,134.912051
88.413815,17,135.139424
98.142625,17,135.242546
98.383536,16,135.338743
87.992122,19,135.449815
98.413815,16,135.54673
98.239395,17,135.652442
98.383759,16,135.751172
98.809719,17,135.858173
98.413815,16,135.956396
98.401922,16,136.054806
98.401922,16,136.153769
98.413815,16,136.250862
98.114255,18,136.357963
98.413815,16,136.456195
98.383487,16,136.562391
98.815393,17,136.667651
98.413815,16,136.894578
98.383548,16,136.993469
98.38347,16,137.090288
98.413815,16,137.193656
98.398933,16,137.290943
98.413815,16,137.390176
98.398933,16,137.489944
98.818413,17,137.596463
98.181449,17,137.697327
98.35639,17,137.798437
88.413815,17,137.895202
88.387005,18,137.999832
98.413815,16,138.098656
98.413815,16,138.196198
98.184082,17,138.297462
98.413815,16,138.530931
98.413815,16,138.627824
98.413815,16,138.721578
88.383453,17,138.819066
98.817733,17,138.92405
98.352083,18,139.031514
98.786303,17,139.133135
98.413815,16,139.231674
98.413815,16,139.33141
98.219715,17,139.434005
88.38347,17,139.535872
98.400886,16,139.632106
98.700417,17,139.733567
98.697366,17,139.833608
98.413815,16,139.930595
98.413815,16,140.026472
98.413815,16,140.267715
98.126009,17,140.368505
98.401465,16,140.464893
88.407983,17,140.566391
98.383536,16,140.663081
98.195192,17,140.764665
88.383527,17,140.863377
98.383548,16,140.969558
98.413815,16,141.066871
98.413815,16,141.163507
98.169806,17,141.26866
98.817733,17,141.371177
98.413815,16,141.470712
98.413815,16,141.567269
98.237472,17,141.667894
98.383415,16,141.895541
98.413815,16,141.995289
98.383543,16,142.097934
98.402005,16,142.195325
98.398269,16,142.292928
98.413815,16,142.390485
98.401987,16,142.48744
98.413815,16,142.586399
98.413815,16,142.688475
98.383548,16,142.783905
98.413815,16,142.881627
98.383527,16,142.977549
98.852965,17,143.079615
98.413815,16,143.179838
98.018371,18,143.288448
98.413815,16,143.390448
98.383548,16,143.614278
98.401987,16,143.711038
98.413815,16,143.81117
98.400886,16,143.913314
98.413815,16,144.012773
98.413815,16,144.106386
98.816863,17,144.206619
98.383487,16,144.31035
98.413815,16,144.410604
98.413815,16,144.5088
98.195134,17,144.612282
98.224691,18,144.719548
98.413815,16,144.816039
98.407983,16,144.912041
98.383548,16,145.007498
98.681345,17,145.108584
98.413815,16,145.334423
98.413815,16,145.432111
98.413815,16,145.529089
98.200165,17,145.625637
98.413815,16,145.722627
98.794948,17,145.824237
88.139705,18,145.922254
98.399695,16,146.026283
98.413815,16,146.127282
98.213846,17,146.235858
98.16976,17,146.338486
98.413815,16,146.438269
98.413815,16,146.536011
98.413815,16,146.636625
98.29819,17,146.743897
97.931673,18,146.983246
98.383434,16,147.081248
98.402005,16,147.181915
98.814263,17,147.286892
98.415146,16,147.383431
98.413815,16,147.484853
98.413815,16,147.59075
98.809978,17,147.699069
98.413815,16,147.80094
98.413815,16,147.898182
98.244474,17,147.999557
98.401646,16,148.096826
98.402466,16,148.196576
98.413815,16,148.291923
98.525292,17,148.398769
98.838713,17,148.50128
98.413815,16,148.72905
98.413815,16,148.829463
98.413815,16,148.927372
98.413815,16,149.024064
88.413815,17,149.126238
98.413815,16,149.223762
98.413815,16,149.323532
98.413815,16,149.424592
98.401646,16,149.527266
98.402466,16,149.623217
98.383453,16,149.71756
98.413815,16,149.816173
98.407983,16,149.918354
98.413815,16,150.017289
98.413815,16,150.117788
98.413815,16,150.212425
88.402005,17,150.44581
98.715769,17,150.547805
98.413815,16,150.646681
98.399695,16,150.742108
98.171703,17,150.845419
98.413815,16,150.942363
98.413815,16,151.039135
78.319821,19,151.155303
98.413815,16,151.262334
98.413815,16,151.358384
98.383395,16,151.455218
98.386565,16,151.552107
98.413815,16,151.651364
98.383434,16,151.747347
98.219663,18,151.856492
98.814514,17,152.094408
98.413815,16,152.190912
98.413815,16,152.285541
98.413815,16,152.382101
98.413815,16,152.477736
98.167677,17,152.578641
98.413815,16,152.677291
98.407983,16,152.778551
98.413815,16,152.887089
98.413815,16,152.986062
98.415146,16,153.084794
98.401319,16,153.181129
98.413815,16,153.277958
98.413815,16,153.374068
98.413815,16,153.469582
98.617643,18,153.577232
98.401319,16,153.805226
98.413815,16,153.900013
98.413815,16,153.996831
98.413815,16,154.091003
98.827377,17,154.194184
98.383487,16,154.288924
98.413815,16,154.385598
98.19475,17,154.491067
98.388948,17,154.601886
98.413815,16,154.702872
98.413815,16,154.800245
98.419279,17,154.903626
98.413815,16,155.000886
98.150247,17,155.103631
98.413815,16,155.202529
98.383487,16,155.299408
98.279536,17,155.526988
98.413815,16,155.625232
98.413815,16,155.720653
98.413815,16,155.817185
98.383527,16,155.917658
98.152056,17,156.02022
98.413815,16,156.119202
98.821396,17,156.228944
98.383415,16,156.330088
98.413815,16,156.424927
98.401922,16,156.520025
98.413815,16,156.615066
98.237823,17,156.716099
98.700019,17,156.817841
98.220517,17,156.923994
98.401327,16,157.020617
98.809719,17,157.250196
98.170835,17,157.352656
98.413815,16,157.447556
98.413815,16,157.544392
98.413815,16,157.640014
98.816084,17,157.741623
98.383395,16,157.843706
98.413815,16,157.947957
98.413815,16,158.044617
98.413815,16,158.141889
98.413815,16,158.239115
98.413815,16,158.334377
98.383453,16,158.430138
98.413815,16,158.528352
98.401742,16,158.624883
98.401987,16,158.851353
98.413815,16,158.945982
98.401319,16,159.042557
98.378867,17,159.143419
98.413815,16,159.237748
98.413815,16,159.333941
88.413815,17,159.43452
98.251769,17,159.539584
98.413815,16,159.647086
98.150757,17,159.750152
98.413815,16,159.84696
98.400345,16,159.943882
98.413815,16,160.042954
98.413815,16,160.140644
98.12494,17,160.241787
98.814514,17,160.342714
98.816084,17,160.570675
98.230992,18,160.682134
98.413815,16,160.776541
88.401465,17,160.873271
98.146067,17,160.97864
98.413815,16,161.075497
98.399695,16,161.170914
98.402466,16,161.274918
98.413815,16,161.378217
98.167965,17,161.47951
98.400345,16,161.574997
98.398933,16,161.668263
98.439973,16,161.764804
98.413815,16,161.86055
98.413815,16,161.958366
98.413815,16,162.054662
98.413815,16,162.277257
98.413815,16,162.373924
98.413815,16,162.471169
98.795785,17,162.572634
98.223118,17,162.672486
98.383527,16,162.771737
98.413815,16,162.868795
98.413815,16,162.975763
98.383502,16,163.075297
98.402466,16,163.172017
98.364363,16,163.270804
98.413815,16,163.367584
98.413815,16,163.465271
98.413815,16,163.565109
98.413815,16,163.664892
98.413815,16,163.762641
98.014238,18,163.99854
98.236997,17,164.099093
98.413815,16,164.196379
98.415146,16,164.292035
98.413815,16,164.390453
98.400886,16,164.484617
98.413815,16,164.590677
98.168827,17,164.702255
98.413815,16,164.798134
98.413815,16,164.895075
98.413815,16,164.990326
98.816463,17,165.094105
98.402466,16,165.189828
98.413815,16,165.288832
98.400886,16,165.385645
98.814263,17,165.616189
98.383453,16,165.713159
98.413815,16,165.807136
98.413815,16,165.905385
98.413815,16,165.999833
98.413815,16,166.096438
98.383434,16,166.193459
98.413815,16,166.299449
98.413815,16,166.398386
98.398269,16,166.49441
98.279043,17,166.597679
98.413815,16,166.694571
98.413815,16,166.793362
98.413815,16,166.887676
98.413815,16,166.983374
98.413815,16,167.07829
98.401465,16,167.299597
98.413815,16,167.397026
98.401742,16,167.492976
98.413815,16,167.587339
98.278885,17,167.689076
98.413815,16,167.783527
98.413815,16,167.887165
98.413815,16,167.989995
98.383759,16,168.086168
98.413815,16,168.182594
98.413815,16,168.278509
98.383759,16,168.375348
98.228822,17,168.476058
98.413815,16,168.570071
98.419279,17,168.671386
98.413815,16,168.765457
98.815393,17,168.996545
98.386597,16,169.090681
98.413815,16,169.188036
98.413815,16,169.281787
98.413815,16,169.378414
98.413815,16,169.473482
98.413815,16,169.579623
98.316043,17,169.685215
98.413815,16,169.7808
98.413815,16,169.876104
98.413815,16,169.972754
98.413815,16,170.070598
98.168616,17,170.176546
98.413815,16,170.275351
98.413815,16,170.37103
98.816084,17,170.474578
98.413815,16,170.698757
98.413815,16,170.798632
88.399695,17,170.898061
98.413815,16,170.994534
98.413815,16,171.091381
98.413815,16,171.19569
98.816463,17,171.304087
98.413815,16,171.402387
98.237472,17,171.507266
98.413815,16,171.606006
98.147238,17,171.708196
98.413815,16,171.805079
98.413815,16,171.90238
98.225923,17,172.004569
98.413815,16,172.101137
98.413815,16,172.326613
98.413815,16,172.425632
98.814263,17,172.529911
98.413815,16,172.62622
98.814786,17,172.727281
98.221512,17,172.833051
98.386363,16,172.93489
98.413815,16,173.033604
98.360929,16,173.131392
98.383415,16,173.229229
98.413815,16,173.324134
98.413815,16,173.419354
98.413815,16,173.515393
98.316043,17,173.619762
98.22328,17,173.71977
98.413815,16,173.816116
98.700019,17,174.047929
98.413815,16,174.14613
98.413815,16,174.245029
98.214384,17,174.34898
98.401327,16,174.447505
98.38347,16,174.550174
98.815393,17,174.656884
98.413815,16,174.756297
98.413815,16,174.852452
98.413815,16,174.948042
98.413815,16,175.044573
98.413815,16,175.142589
98.413815,16,175.241487
98.413815,16,175.336946
98.413815,16,175.435535
98.413815,16,175.533078
98.413815,16,175.759067
98.413815,16,175.858855
98.516366,18,175.965325
98.413815,16,176.064974
98.413815,16,176.167691
98.413815,16,176.268643
98.413815,16,176.367255
88.413815,17,176.465754
98.700225,17,176.567923
98.405844,17,176.669981
98.413815,16,176.766514
98.413815,16,176.862685
98.436351,17,176.963869
98.413815,16,177.062823
98.413815,16,177.160344
98.400886,16,177.383573
98.413815,16,177.481544
98.413815,16,177.577095
98.413815,16,177.677633
98.413815,16,177.779325
98.413815,16,177.875147
98.413815,16,177.975667
98.407612,17,178.08037
98.413815,16,178.175773
98.413815,16,178.271243
98.413815,16,178.368861
98.401987,16,178.460399
98.413815,16,178.554175
98.413815,16,178.65037
98.413815,16,178.748143
98.413815,16,178.844878
98.413815,16,179.079919
98.413815,16,179.177168
98.402493,16,179.274385
98.413815,16,179.37526
98.413815,16,179.474041
98.413815,16,179.571244
98.254777,17,179.679272
98.402005,16,179.775446
98.413815,16,179.875894
98.413815,16,179.974222
98.413815,16,180.068488
98.413815,16,180.16187
98.413815,16,180.255771
98.413815,16,180.350122
98.413815,16,180.443005
98.386522,16,180.540735
98.413815,16,180.778151
98.413815,16,180.873591
98.413815,16,180.970168
98.413815,16,181.072358
98.413815,16,181.169143
98.413815,16,181.269469
98.401327,16,181.369358
98.413815,16,181.465246
98.413815,16,181.564426
98.413815,16,181.66083
98.413815,16,181.754424
98.413815,16,181.850976
98.413815,16,181.945333
98.413815,16,182.044038
98.413815,16,182.138761
98.413815,16,182.2344
98.413815,16,182.473157
98.401987,16,182.569038
98.413815,16,182.662802
98.413815,16,182.76035
98.413815,16,182.862816
98.413815,16,182.961468
98.413815,16,183.061692
98.413815,16,183.156084
98.413815,16,183.254514
98.413815,16,183.350143
98.413815,16,183.44717
98.413815,16,183.54346
98.413815,16,183.638551
98.413815,16,183.737854
98.401868,16,183.835068
98.413815,16,183.930252
98.413815,16,184.168941
98.413815,16,184.267151
98.413815,16,184.365435
98.413815,16,184.462157
98.438217,17,184.571283
98.413815,16,184.669676
98.413815,16,184.767325
98.413815,16,184.861246
98.413815,16,184.954975
98.400345,16,185.050914
98.413815,16,185.143952
98.413815,16,185.240321
98.413815,16,185.336559
98.413815,16,185.431398
98.401646,16,185.525321
98.413815,16,185.620564
98.413815,16,185.840434
98.413815,16,185.934219
98.402466,16,186.028289
98.383453,16,186.127945
98.413815,16,186.228473
98.413815,16,186.328377
98.79501,17,186.434069
98.202696,17,186.539184
98.413815,16,186.63864
98.413815,16,186.735456
98.413815,16,186.832047
98.413815,16,186.929334
98.413815,16,187.025538
98.401987,16,187.123567
98.387659,17,187.230618
98.413815,16,187.331643
98.279867,17,187.561211
98.402466,16,187.658026
98.413815,16,187.753669
98.700417,17,187.862406
98.413815,16,187.962098
98.413815,16,188.062551
98.413815,16,188.158815
98.413815,16,188.252984
98.383527,16,188.348139
98.372751,16,188.443458
98.413815,16,188.539518
98.413815,16,188.636511
98.413815,16,188.734298
98.413815,16,188.82964
